1625637660724,8611,obstacle,[0 person],[-26.7500 116.9375 -1.8066]
1625637660724,8611,obstacle,[9 car],[0.5210 121.9375 1.4131]
1625637661215,8661,obstacle,[0 person],[-26.7500 116.8750 -2.0508]
1625637661215,8661,obstacle,[9 car],[0.8589 132.0000 1.3184]
1625637661772,8711,obstacle,[0 person],[-27.4375 118.5000 -2.1914]
1625637661773,8711,obstacle,[9 car],[0.8589 132.0000 1.4180]
1625637662236,8761,obstacle,[0 person],[-26.8125 116.8125 -2.2754]
1625637662236,8761,obstacle,[9 car],[0.8589 132.0000 1.4365]
1625637662692,8811,obstacle,[0 person],[-27.0156 116.8125 -2.1934]
1625637662692,8811,obstacle,[9 car],[0.8501 131.7500 1.4541]
1625637663181,8861,obstacle,[0 person],[-27.1562 116.8125 -2.1113]
1625637663182,8861,obstacle,[9 car],[0.8589 132.0000 1.3896]
1625637663613,8911,obstacle,[0 person],[-27.1562 116.8750 -2.0293]
1625637663614,8911,obstacle,[9 car],[0.8589 132.0000 1.4043]
1625637664115,8961,obstacle,[0 person],[-27.3906 117.3125 -2.0410]
1625637664115,8961,obstacle,[9 car],[0.8589 132.0000 1.4180]
1625637664588,9011,obstacle,[0 person],[-27.3594 116.8125 -2.0703]
1625637665067,9061,obstacle,[0 person],[-27.3594 116.8125 -2.1914]
1625637665068,9061,obstacle,[78 car],[0.7681 131.7500 1.4434]
1625637665533,9111,obstacle,[0 person],[-27.3594 116.7500 -2.3789]
1625637665534,9111,obstacle,[78 car],[0.7764 132.0000 1.4531]
1625637666031,9161,obstacle,[0 person],[-27.7344 117.1875 -2.4629]
1625637666031,9161,obstacle,[78 car],[0.6729 128.7500 1.4766]
1625637666531,9211,obstacle,[0 person],[-32.1875 128.3750 -3.1719]
1625637666531,9211,obstacle,[78 car],[0.7686 131.7500 1.4707]
1625637667046,9261,obstacle,[0 person],[-27.7969 116.7500 -2.3594]
1625637667046,9261,obstacle,[78 car],[0.7520 132.0000 1.5488]
1625637667560,9311,obstacle,[0 person],[-28.3438 117.6875 -2.4785]
1625637667560,9311,obstacle,[78 car],[0.7017 131.8750 1.6367]
1625637668090,9361,obstacle,[0 person],[-32.9688 128.7500 -3.3477]
1625637668090,9361,obstacle,[87 person],[-7.7109 119.9375 0.8472]
1625637668562,9411,obstacle,[0 person],[-28.9531 117.7500 -2.4980]
1625637668562,9411,obstacle,[87 person],[-5.4062 91.7500 1.2891]
1625637669075,9461,obstacle,[0 person],[-20.6719 96.3125 -1.0371]
1625637669075,9461,obstacle,[87 person],[-3.0215 63.2812 1.6953]
1625637669609,9511,obstacle,[0 person],[-30.4375 118.1875 -2.4414]
1625637670127,9561,obstacle,[0 person],[-30.8906 118.4375 -2.5234]
1625637670683,9611,obstacle,[0 person],[-20.5781 93.8750 -1.0566]
1625637671195,9661,obstacle,[0 person],[-20.8125 93.6250 -1.2090]
1625637671725,9711,obstacle,[0 person],[-23.1250 98.1875 -1.6738]
1625637672249,9761,obstacle,[0 person],[-17.7656 85.4375 -0.7075]
1625637672762,9811,obstacle,[0 person],[-17.7344 84.4375 -0.7939]
1625637673305,9861,obstacle,[0 person],[-18.3438 84.8125 -0.8779]
1625637673843,9911,obstacle,[0 person],[-18.7500 84.8750 -0.9077]
1625637674349,9961,obstacle,[0 person],[-17.5625 81.4375 -0.6846]
1625637674951,10011,obstacle,[0 person],[-18.2969 81.8125 -0.8408]
1625637675524,10061,obstacle,[0 person],[-16.9219 78.4375 -0.5630]
1625637675524,10061,obstacle,[102 car],[-1.0957 80.3750 1.7256]
1625637676058,10111,obstacle,[0 person],[-15.7500 75.5625 -0.4016]
1625637676058,10111,obstacle,[102 car],[-1.0508 80.4375 1.7227]
1625637676621,10161,obstacle,[0 person],[-16.2656 75.5000 -0.5684]
1625637676621,10161,obstacle,[102 car],[-0.2454 107.3750 1.6064]
1625637677191,10211,obstacle,[0 person],[-16.6094 75.0625 -0.7695]
1625637677191,10211,obstacle,[102 car],[-0.1973 107.3125 1.6025]
1625637677755,10261,obstacle,[0 person],[-17.1250 75.0625 -0.9985]
1625637677755,10261,obstacle,[102 car],[0.3198 107.3125 1.5977]
1625637677755,10261,obstacle,[109 person],[-7.7188 122.6875 0.8452]
1625637678288,10311,obstacle,[0 person],[-17.3906 74.8750 -1.0439]
1625637678288,10311,obstacle,[102 car],[0.4128 91.5000 1.6611]
1625637678288,10311,obstacle,[109 person],[-4.2695 91.5625 1.2842]
1625637678837,10361,obstacle,[0 person],[-17.8438 75.0000 -1.1113]
1625637678838,10361,obstacle,[109 person],[-3.2637 91.8125 1.2725]
1625637679374,10411,obstacle,[0 person],[-17.5469 74.9375 -1.1182]
1625637679933,10461,obstacle,[0 person],[-16.9844 74.7500 -1.1025]
1625637682725,10761,obstacle,[112 person],[-9.4766 115.1875 0.8462]
1625637683173,10811,obstacle,[112 person],[-6.0312 91.5000 1.3574]
1625637683173,10811,obstacle,[114 car],[-0.9536 80.5625 1.6318]
1625637683618,10861,obstacle,[112 person],[-10.3906 121.5000 1.0527]
1625637683619,10861,obstacle,[114 car],[-0.7568 131.7500 1.1738]
1625637684080,10911,obstacle,[112 person],[-6.0352 91.5625 1.4912]
1625637684080,10911,obstacle,[114 car],[-0.7983 91.2500 1.7012]
1625637684539,10961,obstacle,[112 person],[-5.9453 91.5625 1.3066]
1625637684539,10961,obstacle,[114 car],[-0.4287 91.3125 1.6074]
1625637685001,11011,obstacle,[112 person],[-10.3281 120.8125 1.0186]
1625637685001,11011,obstacle,[114 car],[0.9551 131.6250 1.3320]
1625637685440,11061,obstacle,[112 person],[-10.3984 121.6250 1.0635]
1625637685440,11061,obstacle,[114 car],[1.3223 131.8750 1.2578]
1625637685882,11111,obstacle,[112 person],[-10.1484 120.8125 0.8481]
1625637685882,11111,obstacle,[120 car],[-0.0113 131.6250 1.3408]
1625637686337,11161,obstacle,[112 person],[-10.2344 119.5000 0.6416]
1625637686337,11161,obstacle,[120 car],[0.9072 131.6250 1.1289]
1625637686753,11211,obstacle,[112 person],[-5.8828 91.3125 1.2812]
1625637686754,11211,obstacle,[120 car],[0.7563 131.5000 1.2090]
1625637687196,11261,obstacle,[112 person],[-5.9297 91.3125 1.3174]
1625637687197,11261,obstacle,[120 car],[0.8843 131.3750 1.2158]
1625637687630,11311,obstacle,[112 person],[-10.1016 118.3750 0.8574]
1625637687630,11311,obstacle,[120 car],[0.3652 131.6250 1.3594]
1625637688099,11361,obstacle,[112 person],[-5.8086 91.2500 1.3604]
1625637688099,11361,obstacle,[120 car],[0.8350 131.3750 1.1631]
1625637688568,11411,obstacle,[112 person],[-13.0000 137.6250 0.4626]
